NOME_MUNICIPIO;UF;IDHM2010;IDHMRenda2010;IDHMLongevidade2010;IDHMEducacao2010;GEOCODIGO_MUNICIPIO;COD_UF;LONGITUDE;LATITUDE
Aparecida do Taboado;MS;0,697;0,717;0,804;0,588;5001003;50;-51,097638;-20,085022
Aparecida D'Oeste;SP;0,721;0,697;0,804;0,67;3502606;35;-50,885616;-20,450845
Aperibé;RJ;0,692;0,67;0,785;0,631;3300159;33;-42,104917;-21,619422
Apiacá;ES;0,673;0,659;0,841;0,549;3200508;32;-41,56338;-21,156448
Apiacás;MT;0,675;0,666;0,809;0,57;5100805;51;-57,395402;-9,565495
Apiaí;SP;0,71;0,662;0,835;0,647;3502705;35;-48,84866;-24,513316
Apicum-Açu;MA;0,568;0,529;0,718;0,483;2100832;21;-45,076652;-1,530592
Apiúna;SC;0,708;0,735;0,827;0,584;4201257;42;-49,391638;-27,041813
Apodi;RN;0,639;0,611;0,747;0,571;2401008;24;-37,797784;-5,66377
Aporá;BA;0,548;0,516;0,751;0,425;2901908;29;-38,079995;-11,655394
Aporé;GO;0,693;0,692;0,823;0,584;5201504;52;-51,928073;-18,958877
Apuarema;BA;0,552;0,555;0,735;0,413;2901957;29;-39,742132;-13,853229
Apucarana;PR;0,748;0,741;0,845;0,668;4101408;41;-51,459985;-23,551593
Apuí;AM;0,637;0,621;0,772;0,54;1300144;13;-59,885666;-7,19787
Apuiarés;CE;0,618;0,536;0,741;0,593;2300903;23;-39,430423;-3,948019
Aquidabã;SE;0,578;0,573;0,747;0,452;2800209;28;-37,022181;-10,292518
Aquidauana;MS;0,688;0,69;0,84;0,562;5001102;50;-55,790616;-20,474654
Aquiraz;CE;0,641;0,608;0,788;0,55;2301000;23;-38,389803;-3,906195
Arabutã;SC;0,733;0,744;0,863;0,614;4201273;42;-52,148599;-27,157404
Araçagi;PB;0,549;0,54;0,745;0,412;2500809;25;-35,383299;-6,851697
Araçaí;MG;0,695;0,659;0,805;0,632;3103207;31;-44,246924;-19,200364
Aracaju;SE;0,77;0,784;0,823;0,708;2800308;28;-37,048213;-10,907216
Araçariguama;SP;0,704;0,717;0,814;0,597;3502754;35;-47,071548;-23,430041
Araças;BA;0,57;0,54;0,744;0,462;2902054;29;-38,198288;-12,2152
Aracati;CE;0,655;0,607;0,742;0,624;2301109;23;-37,772753;-4,567066
Aracatu;BA;0,581;0,591;0,754;0,439;2902005;29;-41,461685;-14,42663
Araçatuba;SP;0,788;0,782;0,841;0,744;3502804;35;-50,439226;-21,205476
Araci;BA;0,534;0,534;0,747;0,381;2902104;29;-38,960958;-11,335728
Aracitaba;MG;0,661;0,608;0,823;0,577;3103306;31;-43,381556;-21,339269
Aracoiaba;CE;0,615;0,55;0,759;0,556;2301208;23;-38,809441;-4,370394
Araçoiaba;PE;0,592;0,544;0,765;0,498;2601052;26;-35,093967;-7,785642
